D2, TICKS, ALPHA, EGS, ACCURACY, PROBLEM, CHOICE
1/4, 10, 0, 0, 0, 27.015, 1.1350002
1/4, 10, 0, 0, 1, 21.24, 1.1350002
1/4, 10, 0, 0, 1, 26.28, 1.0849991
1/4, 10, 0, 0, 1, 31.391, 1.1350021
1/4, 10, 0, 0, 0, 19.475, 1.1350002
1/4, 10, 0, 0, 0, 25.045, 1.1350002
1/4, 10, 0, 0, 0, 24.448, 1.085001
1/4, 10, 0, 0, 0, 25.038, 1.1350002
1/4, 10, 0, 0, 1, 21.225, 1.1350002
1/4, 10, 0, 0, 0, 21.107, 1.1350002
1/4, 10, 0, 0, 1, 24.557, 1.1350002
1/4, 10, 0, 0, 0, 22.34, 1.1350002
1/4, 10, 0, 0, 0, 18.224, 1.0849991
1/4, 10, 0, 0, 0, 22.02, 1.1350002
1/4, 10, 0, 0, 1, 20.68, 1.0849991
1/4, 10, 0, 0, 0, 22.368, 1.1350002
1/4, 10, 0, 0, 1, 21.046, 1.085001
1/4, 10, 0, 0, 1, 19.954, 1.0849991
1/4, 10, 0, 0, 0, 24.68, 1.1350002
1/4, 10, 0, 0, 0, 17.916, 1.1350002
1/4, 10, 0, 1/10, 1, 26.996, 1.1350002
1/4, 10, 0, 1/10, 1, 22.665, 1.1349983
1/4, 10, 0, 1/10, 0, 26.252, 1.1349983
1/4, 10, 0, 1/10, 0, 26.051, 1.1350002
1/4, 10, 0, 1/10, 1, 28.221, 1.1350002
1/4, 10, 0, 1/10, 0, 18.062, 1.1350002
1/4, 10, 0, 1/10, 0, 27.83, 1.1350002
1/4, 10, 0, 1/10, 1, 20.01, 1.1350002
1/4, 10, 0, 1/10, 1, 20.325, 1.1349983
1/4, 10, 0, 1/10, 1, 21.433, 1.1350002
1/4, 10, 0, 1/10, 1, 21.025, 1.1350002
1/4, 10, 0, 1/10, 0, 19.535, 1.1350002
1/4, 10, 0, 1/10, 1, 21.675, 1.1350002
1/4, 10, 0, 1/10, 0, 19.185, 1.085001
1/4, 10, 0, 1/10, 0, 20.787, 1.1350002
1/4, 10, 0, 1/10, 1, 23.107, 1.1350002
1/4, 10, 0, 1/10, 0, 24.157, 1.1350002
1/4, 10, 0, 1/10, 1, 18.468, 1.1350002
1/4, 10, 0, 1/10, 0, 21.925, 1.1350002
1/4, 10, 0, 1/10, 0, 22.729, 1.0849991
1/4, 10, 0, 1/5, 0, 22.19, 1.1350002
1/4, 10, 0, 1/5, 0, 20.935, 1.085001
1/4, 10, 0, 1/5, 0, 12.601, 1.1350002
1/4, 10, 0, 1/5, 1, 20.36, 1.1350002
1/4, 10, 0, 1/5, 1, 22.358, 1.1350002
1/4, 10, 0, 1/5, 1, 21.965, 1.1350002
1/4, 10, 0, 1/5, 0, 19.035, 1.1350002
1/4, 10, 0, 1/5, 0, 24.479, 1.1350002
1/4, 10, 0, 1/5, 0, 24.382, 1.1350002
1/4, 10, 0, 1/5, 1, 31.402, 1.1349983
1/4, 10, 0, 1/5, 0, 20.505, 1.085001
1/4, 10, 0, 1/5, 1, 20.855, 1.085001
1/4, 10, 0, 1/5, 0, 24.38, 1.1350002
1/4, 10, 0, 1/5, 0, 25.058, 1.1350002
1/4, 10, 0, 1/5, 1, 18.535, 1.1350002
1/4, 10, 0, 1/5, 0, 24.07, 1.1350002
1/4, 10, 0, 1/5, 0, 23.204, 1.1350002
1/4, 10, 0, 1/5, 0, 23.96, 1.1350002
1/4, 10, 0, 1/5, 1, 20.09, 1.1350002
1/4, 10, 0, 1/5, 1, 21.655, 1.1350002
1/4, 10, 0, 3/10, 0, 21.868, 1.1350002
1/4, 10, 0, 3/10, 1, 19.99, 1.1350002
1/4, 10, 0, 3/10, 1, 26.244, 1.085001
1/4, 10, 0, 3/10, 1, 24.056, 1.1350002
1/4, 10, 0, 3/10, 1, 18.085, 1.085001
1/4, 10, 0, 3/10, 0, 20.565, 1.1350002
1/4, 10, 0, 3/10, 0, 26.248, 1.1350002
1/4, 10, 0, 3/10, 0, 8.715, 1.1350002
1/4, 10, 0, 3/10, 0, 16.324, 1.1350002
1/4, 10, 0, 3/10, 1, 17.585, 1.1350002
1/4, 10, 0, 3/10, 0, 24.669, 1.1350002
1/4, 10, 0, 3/10, 0, 22.966, 1.1350002
1/4, 10, 0, 3/10, 1, 19.138, 1.1350002
1/4, 10, 0, 3/10, 0, 15.365, 1.1350002
1/4, 10, 0, 3/10, 0, 19.835, 1.1350002
1/4, 10, 0, 3/10, 1, 20.185, 1.1350002
1/4, 10, 0, 3/10, 1, 22.54, 1.0849991
1/4, 10, 0, 3/10, 0, 22.375, 1.1350002
1/4, 10, 0, 3/10, 0, 21.74, 1.085001
1/4, 10, 0, 3/10, 0, 17.889, 1.085001
1/4, 10, 0, 2/5, 0, 18.185, 1.1350002
1/4, 10, 0, 2/5, 1, 30.041, 1.1349983
1/4, 10, 0, 2/5, 1, 12.329, 1.1349993
1/4, 10, 0, 2/5, 0, 23.946, 1.1350002
1/4, 10, 0, 2/5, 0, 16.89, 1.1350002
1/4, 10, 0, 2/5, 1, 19.066, 1.1350002
1/4, 10, 0, 2/5, 0, 18.5, 1.1350002
1/4, 10, 0, 2/5, 1, 23.45, 1.1349983
1/4, 10, 0, 2/5, 1, 18.541, 1.1350002
1/4, 10, 0, 2/5, 0, 17.176, 1.1350002
1/4, 10, 0, 2/5, 0, 20.125, 1.1350002
1/4, 10, 0, 2/5, 0, 20.625, 1.0849991
1/4, 10, 0, 2/5, 0, 16.494, 1.1350002
1/4, 10, 0, 2/5, 1, 18.497, 1.1350002
1/4, 10, 0, 2/5, 1, 20.884, 1.1349983
1/4, 10, 0, 2/5, 0, 24.115, 1.1350002
1/4, 10, 0, 2/5, 0, 22.44, 1.1350002
1/4, 10, 0, 2/5, 1, 20.54, 1.1349983
1/4, 10, 0, 2/5, 1, 18.284, 1.1350002
1/4, 10, 0, 2/5, 1, 28.478, 1.1350002
1/4, 10, 0, 1/2, 0, 22.975, 1.1350002
1/4, 10, 0, 1/2, 1, 17.85, 1.1350002
1/4, 10, 0, 1/2, 0, 26.235, 1.1350002
1/4, 10, 0, 1/2, 0, 24.315, 1.1350002
1/4, 10, 0, 1/2, 1, 23.855, 1.1350002
1/4, 10, 0, 1/2, 1, 18.935, 1.085001
1/4, 10, 0, 1/2, 0, 21.375, 1.1350002
1/4, 10, 0, 1/2, 0, 20.659, 1.1350002
1/4, 10, 0, 1/2, 1, 17.411, 1.1350002
1/4, 10, 0, 1/2, 1, 12.275, 1.1350002
1/4, 10, 0, 1/2, 1, 18.641, 1.0849991
1/4, 10, 0, 1/2, 1, 22.944, 1.1350002
1/4, 10, 0, 1/2, 1, 27.381, 1.1350002
1/4, 10, 0, 1/2, 1, 23.688, 1.1350002
1/4, 10, 0, 1/2, 1, 26.68, 1.1350002
1/4, 10, 0, 1/2, 1, 19.69, 1.1350002
1/4, 10, 0, 1/2, 1, 22.386, 1.1350002
1/4, 10, 0, 1/2, 1, 25.179, 1.1349983
1/4, 10, 0, 1/2, 0, 27.13, 1.1350002
1/4, 10, 0, 1/2, 1, 31.828, 1.0849991
1/4, 10, 1/5, 0, 0, 19.944, 1.1350002
1/4, 10, 1/5, 0, 1, 25.415, 1.0849991
1/4, 10, 1/5, 0, 0, 23.915, 1.0849991
