Accuracy	Eigenvariate	Mean
0.3125	0.2386	0.2169
0.3333333	0.0345	-0.002
0.25	0.4288	0.3986
0.4375	-0.0453	-0.0715
0.4375	0.1307	0.089
0.1875	0.5205	0.4858
0.625	0.0029	-0.0267
0.5	-0.1128	-0.134
0.375	0.1571	0.1432
0.375	0.4615	0.4235
0.25	-0.0635	-0.0823
0.5	0.0243	0.003
0.375	0.1413	0.1113
0.25	0.3292	0.3038
0.5	0.1527	0.1309
0.2	0.2092	0.1844
0.4375	-0.0078	-0.0419
0.5	-0.0763	-0.0978
0.3125	0.2318	0.1922
0.5625	-0.0655	-0.0895
0.25	0.6036	0.5656
0.4375	0.111	0.0847
0.5625	-0.1685	-0.1799
0.4375	0.178	0.1554
