SN	Subject	BARAPM	RAPM	OverallAcc	ChooseA	AvoidB	RT	AB_trials	OS_Score	OS_Total	OS_MathErrors	OS_SpeedErrors	OS_Accuracy
728	12524	5	15	0.53125	0.375	0.6875	1878.51	60	15	32	7	3	4
729	12525	7	21	0.65625	0.3125	1	920.33	20	75	75	4	0	4
745	12526	6	18	0.6875	0.6875	0.6875	1160.07	60	32	44	5	2	3
	12527	5	15						55	65	0	0	0
747	12528	7	21	0.6875	0.8125	0.5625	1183.42	80	49	66	5	1	4
748	12529	5	15	0.6875	0.375	1	951.78	120	32	63	6	0	6
750	12530	10	30	0.59375	0.5	0.6875	1230.28	60	46	69	4	0	4
774	12531												
777	12532	9	27	0.5625	0.4375	0.6875	1114.01	60	66	72	8	0	8
775	12533	7	21	0.5625	0.5625	0.5625	1791.60	20	57	65	7	4	3
776	12534	7	21	0.96875	1	0.9375	1020.12	100	48	62	15	7	8
792	12535	10	30	0.625	0.5	0.75	1391.94	120	53	67	6	0	6
793	12536	4	12	0.90625	0.875	0.9375	1160.26	40	35	54	8	2	6
794	12537	7	21						36	56	5	1	4
795	12538	4	12	0.6875	0.75	0.625	960.85	20	36	57	6	2	4
796	12539	5	15	0.71875	1	0.4375	853.22	20	28	43	3	0	3
797	12540	2	6	1	1	1	1539.12	20	27	53	10	1	9
798	12541	8	24	0.53125	0.6875	0.375	736.71	120	54	64	6	0	6
799	12542	3	9	0.625	1	0.25	829.93	20	40	58	13	3	10
800	12543	8	24	0.78125	0.9375	0.625	803.69	120	32	56	9	2	7
801	12544	6	18	0.4375	0.4375	0.4375	972.06	120	18	53	8	3	5
802	12545	8	24	0.875	0.9375	0.8125	919.48	60	69	73	3	1	2
803	12546	3	9	0.78125	1	0.5625	638.12	20	50	64	6	2	4
804	12547	4	12	0.59375	0.625	0.5625	1122.24	40	42	61	1	1	0
805	12548	8	24	0.6875	0.875	0.5	1395.32	40	68	73	4	0	4
850	12549	11	33	0.78125	0.9375	0.625	823.85	120					
851	12551	9	27	0.40625	0.5	0.3125	2415.72	40	62	72	7	1	6
853	12552	9	27	0.78125	0.625	0.9375	861.87	20	43	64	4	0	4
854	12553	5	15	0.84375	0.8125	0.875	1135.67	20	68	73	3	0	3
855	12554	9	27	1	1	1	1684.83	20	75	75	2	1	1
856	12555	10	30	0.875	1	0.75	697.65	120	58	64	3	1	2
866	12556	5	15	0.4375	0.375	0.5	1637.09	80	30	56	7	4	3
867	12557	10	30	0.5	0	1	1123.97	60	65	68	8	0	8
868	12558	7	21						63	64	9	4	5
873	12559	4	12						36	59	12	5	7
879	12560	6	18	0.53125	1	0.0625	452.83	40					
878	12561	5	15										
907	12562	4	12						23	52	3	0	3
912	12563	7	21	0.53125	0.625	0.4375	1525.08	20	48	71	3	0	3
0	12564		0	0.46875	0.5	0.4375	588.85	100					
916	12565	7	21						55	68	8	0	8
913	12566	10	30	0.59375	0.6875	0.5	664.14	120	22	48	7	1	6
914	12567	8	24	0.84375	1	0.6875	1011.94	120	34	56	9	2	7
917	12568	6	18	0.53125	0.75	0.3125	1289.11	40	50	63	2	0	2
927	12569	8	24	0.53125	0.3125	0.75	941.13	120	55	66	4	0	4
925	12570	8	24	0.9375	1	0.875	1378.90	20					
924	12571	2	6	0.71875	1	0.4375	1085.83	40	68	72	6	2	4
926	12572	7	21	0.875	1	0.75	626.30	40	51	68	3	1	2
928	12573	8	24	0.78125	0.75	0.8125	1198.83	20	68	72	7	1	6
929	12783	5	15	0.34375	0.3125	0.375	1706.76	40	52	67	8	0	8
930	12784	9	27	0.8125	0.9375	0.6875	1493.46	40	60	71	12	2	10
931	12785	12	36	0.4375	0.5	0.375	2204.92	120	68	73	3	0	3
932	12786	2	6	0.71875	0.75	0.6875	1193.03	120	21	57	12	1	11
933	12787	11	33	0.5625	0.5	0.625	705.58	120	4	58	9	1	8
967	12788	4	12						44	63	7	2	5
968	12789	11	33	0.9375	0.9375	0.9375	1318.24	60	37	62	9	3	6
969	12790	4	12	0.78125	0.6875	0.875	1082.02	60	48	66	4	1	3
970	12791	7	21	0.6875	0.8125	0.5625	1051.34	60	42	62	5	3	2
971	12792	4	12	0.78125	0.75	0.8125	976.58	20	63	65	9	3	6
974	12793	5	15	0.65625	1	0.3125	928.47	120	75	75	4	1	3
975	12794	6	18	0.4375	0.5	0.375	1187.19	60	28	52	10	3	7
976	12795	4	12	0.625	0.5	0.75	1256.02	20	75	75	0	0	0
977	12796		0	0.78125	0.6875	0.875	572.70	120					
981	12797	10	30	0.59375	0.375	0.8125	943.29	60	44	56	5	4	1
982	12798	7	21	0.78125	0.625	0.9375	531.73	120	54	63	11	5	6
1003	12799	7	21	0.875	0.9375	0.8125	2488.17	20	54	67	2	0	2
1004	12800	8	24	0.875	0.9375	0.8125	1407.73	20					
1005	12801	7	21	0.4375	0.25	0.625	1224.45	20	44	67	8	3	5
1009	12802	10	30	0.71875	0.625	0.8125	553.65	120	58	70	5	0	5
1010	12803	2	6	0.90625	1	0.8125	815.88	60	55	67	7	2	5
1013	12804	9	27	0.59375	0.6875	0.5	1395.43	40	46	64	7	1	6
1014	12805	6	18	0.65625	0.875	0.4375	449.08	80	15	29	15	3	12
1015	12806	4	12	0.53125	0.625	0.4375	857.60	80	34	61	4	1	3
1016	12807	4	12	0.90625	1	0.8125	1525.90	20	56	65	11	2	9
1020	12808	6	18	0.5	0.5625	0.4375	449.05	120	44	66	5	0	5
