Subject	Gender	Age
12831	Male	20
12557	Female	20
12801	Female	19
12827	Male	20
12819	Male	19
12783	Female	19
12569	Male	20
12525	Male	18
12556	Female	19
12524	Female	20
12820	Female	20
12797	Female	19
12529	Male	19
12544	Male	18
12825	Male	19
12828	Male	21
14001	Female	23
12532	Male	18
12818	Male	19
12551	Male	19
12785	Female	20
12794	Male	19
12832	Male	22
12787	Male	19
12530	Female	19
12535	Male	19
12795	Male	19
12814	Male	19
12808	Female	18
12829	Male	20
12533	Female	18
12563	Female	19
12806	Female	19
12547	Female	19
12812	Female	18
12802	Male	20
12552	Male	18
12798	Female	18
12541	Female	18
12566	Female	19
12804	Female	19
12526	Female	19
12816	Female	20
12790	Female	20
12822	Male	20
14002	Female	30
12568	Female	19
12538	Female	20
12573	Male	19
12792	Male	21
12809	Female	22
12830	Male	19
12528	Male	19
12791	Male	19
12811	Female	19
12553	Female	18
12805	Male	24
12548	Female	19
12536	Male	18
12543	Female	18
12549	Male	22
12784	Male	19
12810	Female	20
12821	Female	19
12815	Female	19
12545	Female	19
12799	Male	19
12800	Female	20
12789	Male	21
12560	Male	23
12542	Male	19
12793	Male	20
12539	Male	21
12546	Female	18
12823	Male	18
12567	Female	22
12826	Male	19
12555	Female	20
12572	Female	18
12807	Male	18
12570	Male	20
12534	Male	18
12554	Female	21

