Subject	Block	NumRules	Rules	Logic	Problem	Choice	Accuracy
13005	1	1	Low	Non-Logic	3973	1180	1
13005	1	4	High	Logic	10554	1010	1
13005	1	1	Low	Logic	9014	1992	0
13005	1	3	High	Non-Logic	10540	1894	0
13005	2	3	High	Logic	18103	1969	0
13005	2	4	High	Non-Logic	9275	1969	0
13005	2	2	Low	Non-Logic	7100	1451	1
13005	2	2	Low	Logic	13596	1985	0
13005	3	2	Low	Logic	7924	889	0
13005	3	2	Low	Non-Logic	5410	1366	1
13005	3	4	High	Non-Logic	7995	1631	0
13005	3	3	High	Logic	7889	1978	0
13005	4	3	High	Non-Logic	5576	1983	0
13005	4	1	Low	Logic	13336	1048	0
13005	4	4	High	Logic	12352	1972	0
13005	4	1	Low	Non-Logic	7466	1230	1
13006	1	1	Low	Non-Logic	5906	1184	1
13006	1	3	High	Logic	13078	3576	1
13006	1	1	Low	Logic	18052	1158	0
13006	1	4	High	Non-Logic	30000	3082	0
13006	1	4	High	Logic	15275	2951	1
13006	1	3	High	Non-Logic	22141	1365	0
13006	1	2	Low	Non-Logic	10165	1888	0
13006	1	1	Low	Logic	12315	1517	1
13006	2	2	Low	Logic	22634	1669	0
13006	2	1	Low	Non-Logic	9245	2917	0
13006	2	4	High	Non-Logic	12045	4000	0
13006	2	4	High	Logic	21627	2685	0
13006	2	3	High	Non-Logic	30000	3905	0
13006	2	2	Low	Logic	12846	2507	1
13006	2	3	High	Logic	30000	3336	0
13007	1	2	Low	Non-Logic	2433	1085	0
13007	1	4	High	Logic	7775	4000	0
13007	1	1	Low	Logic	4875	4000	0
13007	1	3	High	Non-Logic	7822	1052	1
13007	1	3	High	Logic	12531	1611	1
13007	1	4	High	Non-Logic	6999	1017	0
13007	1	2	Low	Non-Logic	4675	1313	0
13007	1	2	Low	Logic	9488	1108	0
13007	2	1	Low	Logic	9506	1735	0
13007	2	1	Low	Non-Logic	4562	1377	1
13007	2	4	High	Non-Logic	4474	1529	0
13007	2	4	High	Logic	8955	1695	0
13007	2	3	High	Non-Logic	8434	2367	0
13007	2	2	Low	Logic	7536	1089	0
13007	2	3	High	Logic	7186	1194	0
13007	2	1	Low	Non-Logic	3600	738	1
13008	1	1	Low	Non-Logic	6370	1161	0
13008	1	3	High	Logic	6325	1037	1
13008	1	2	Low	Logic	11625	4000	0
13008	1	4	High	Non-Logic	7590	1665	0
13008	1	3	High	Logic	12066	1768	0
13008	1	3	High	Non-Logic	17848	2371	1
13008	1	2	Low	Non-Logic	11828	4000	0
13008	1	1	Low	Logic	13580	1140	0
13008	2	2	Low	Logic	17368	1683	0
13008	2	2	Low	Non-Logic	11077	1320	0
13008	2	3	High	Non-Logic	22797	2429	1
13008	2	4	High	Logic	23912	4000	0
13008	2	4	High	Non-Logic	11493	1908	1
13008	2	1	Low	Logic	8834	983	1
13008	2	4	High	Logic	19692	1962	1
13008	2	1	Low	Non-Logic	7138	1440	1
13009	1	2	Low	Non-Logic	19248	2231	0
13009	1	3	High	Logic	18733	4000	0
13009	1	1	Low	Logic	6223	2911	1
13009	1	4	High	Non-Logic	11304	2366	0
13009	1	4	High	Logic	11100	4000	0
13009	1	3	High	Non-Logic	12121	1288	0
13009	1	1	Low	Non-Logic	11155	2025	1
13009	1	2	Low	Logic	16425	1846	1
13009	2	2	Low	Logic	12464	1485	1
13009	2	2	Low	Non-Logic	6845	2229	1
13009	2	4	High	Non-Logic	13778	1690	1
13009	2	4	High	Logic	21758	4000	0
13009	2	3	High	Non-Logic	21498	1759	1
13009	2	1	Low	Logic	12400	1065	0
13009	2	3	High	Logic	27246	2330	0
13009	2	1	Low	Non-Logic	6525	2007	0
13010	1	1	Low	Non-Logic	5488	698	0
13010	1	4	High	Logic	8159	2259	0
13010	1	1	Low	Logic	9600	2710	0
13010	1	4	High	Non-Logic	11290	1737	1
13010	1	3	High	Logic	7078	4000	0
13010	1	3	High	Non-Logic	2933	1313	0
13010	1	2	Low	Non-Logic	3680	1470	0
13010	1	1	Low	Logic	4598	2111	0
13010	2	2	Low	Logic	3619	1071	0
13010	2	1	Low	Non-Logic	8250	1271	1
13010	2	3	High	Non-Logic	5273	2645	0
13010	2	3	High	Logic	5375	1861	0
13010	2	4	High	Non-Logic	7416	1514	1
13010	2	2	Low	Logic	4299	1561	0
13010	2	4	High	Logic	4813	1221	0
13010	2	2	Low	Non-Logic	4634	934	0
13011	1	1	Low	Non-Logic	15270	2822	1
13011	1	4	High	Logic	22438	4000	0
13011	1	1	Low	Logic	14991	1984	1
13011	1	3	High	Non-Logic	15319	4000	0
13011	1	3	High	Logic	18750	1761	1
13011	1	3	High	Non-Logic	28479	1648	0
13011	1	2	Low	Non-Logic	11807	1491	1
13011	1	2	Low	Logic	20169	1507	0
13011	2	2	Low	Logic	16184	1822	1
13011	2	2	Low	Non-Logic	10473	1724	1
13011	2	4	High	Non-Logic	14660	2196	1
13011	2	3	High	Logic	18597	1272	0
13011	2	4	High	Non-Logic	10527	2318	1
13011	2	1	Low	Logic	13966	907	0
13011	2	4	High	Logic	14024	1879	1
13011	2	1	Low	Non-Logic	11311	2965	1
13013	1	1	Low	Non-Logic	7828	1887	1
13013	1	4	High	Logic	14347	4000	0
13013	1	2	Low	Logic	20573	4000	0
13013	1	4	High	Non-Logic	26104	1832	0
13013	1	3	High	Logic	20324	2493	1
13013	1	3	High	Non-Logic	20542	1023	0
13013	1	2	Low	Non-Logic	11984	1247	1
13013	1	2	Low	Logic	28977	1536	1
13013	2	1	Low	Logic	9570	1258	0
13013	2	1	Low	Non-Logic	22973	1416	1
13013	2	3	High	Non-Logic	30000	2966	0
13013	2	4	High	Logic	29079	1351	1
13013	2	4	High	Non-Logic	11633	2746	0
13013	2	1	Low	Logic	10078	1697	1
13013	2	3	High	Logic	30000	2053	1
13013	2	2	Low	Non-Logic	8067	1030	0
