TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 2.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 5.580666
20.0, 2.0, -0.5, 1.0, 1.0, 2.0, 0.33333334, 5.9810004
20.0, 2.0, -0.5, 1.0, 1.0, 5.0, 0.6666667, 5.775
20.0, 2.0, -0.5, 1.0, 1.0, 10.0, 0.33333334, 5.5916667
20.0, 2.0, -0.5, 1.0, 2.0, 1.0, 0.0, 5.8250003
20.0, 2.0, -0.5, 1.0, 2.0, 2.0, 0.6666667, 5.818001
20.0, 2.0, -0.5, 1.0, 2.0, 5.0, 0.0, 5.5916667
20.0, 2.0, -0.5, 1.0, 2.0, 10.0, 0.0, 5.775
20.0, 2.0, -0.5, 1.0, 5.0, 1.0, 0.0, 5.558333
20.0, 2.0, -0.5, 1.0, 5.0, 2.0, 1.0, 5.5750003
20.0, 2.0, -0.5, 1.0, 5.0, 5.0, 0.33333334, 5.5749993
20.0, 2.0, -0.5, 1.0, 5.0, 10.0, 1.0, 6.191667
20.0, 2.0, -0.5, 1.0, 10.0, 1.0, 0.33333334, 5.558334
20.0, 2.0, -0.5, 1.0, 10.0, 2.0, 0.6666667, 5.565666
20.0, 2.0, -0.5, 1.0, 10.0, 5.0, 0.6666667, 5.558333
20.0, 2.0, -0.5, 1.0, 10.0, 10.0, 0.33333334, 5.558334
20.0, 2.0, -0.5, 2.0, 1.0, 1.0, 0.6666667, 5.597
20.0, 2.0, -0.5, 2.0, 1.0, 2.0, 0.33333334, 5.5886664
20.0, 2.0, -0.5, 2.0, 1.0, 5.0, 0.0, 7.064333
20.0, 2.0, -0.5, 2.0, 1.0, 10.0, 0.6666667, 5.558334
20.0, 2.0, -0.5, 2.0, 2.0, 1.0, 0.0, 5.633667
20.0, 2.0, -0.5, 2.0, 2.0, 2.0, 0.6666667, 5.823667
20.0, 2.0, -0.5, 2.0, 2.0, 5.0, 1.0, 5.5916667
20.0, 2.0, -0.5, 2.0, 2.0, 10.0, 0.33333334, 5.993
20.0, 2.0, -0.5, 2.0, 5.0, 1.0, 0.33333334, 5.6096673
20.0, 2.0, -0.5, 2.0, 5.0, 2.0, 0.6666667, 5.5750003
20.0, 2.0, -0.5, 2.0, 5.0, 5.0, 0.33333334, 5.5749993
20.0, 2.0, -0.5, 2.0, 5.0, 10.0, 0.0, 5.5750003
20.0, 2.0, -0.5, 2.0, 10.0, 1.0, 0.33333334, 5.5839996
20.0, 2.0, -0.5, 2.0, 10.0, 2.0, 0.0, 6.241667
20.0, 2.0, -0.5, 2.0, 10.0, 5.0, 0.6666667, 5.5926666
20.0, 2.0, -0.5, 2.0, 10.0, 10.0, 0.33333334, 6.0610003
20.0, 2.0, -0.5, 3.0, 1.0, 1.0, 0.6666667, 6.811667
20.0, 2.0, -0.5, 3.0, 1.0, 2.0, 0.6666667, 8.031667
20.0, 2.0, -0.5, 3.0, 1.0, 5.0, 0.6666667, 8.052667
20.0, 2.0, -0.5, 3.0, 1.0, 10.0, 1.0, 8.071334
20.0, 2.0, -0.5, 3.0, 2.0, 1.0, 1.0, 5.5750003
20.0, 2.0, -0.5, 3.0, 2.0, 2.0, 1.0, 5.602333
20.0, 2.0, -0.5, 3.0, 2.0, 5.0, 0.33333334, 5.5956664
20.0, 2.0, -0.5, 3.0, 2.0, 10.0, 0.33333334, 5.5749993
20.0, 2.0, -0.5, 3.0, 5.0, 1.0, 0.6666667, 5.584667
20.0, 2.0, -0.5, 3.0, 5.0, 2.0, 0.33333334, 5.806
20.0, 2.0, -0.5, 3.0, 5.0, 5.0, 0.6666667, 6.2416673
20.0, 2.0, -0.5, 3.0, 5.0, 10.0, 0.6666667, 5.811333
20.0, 2.0, -0.5, 3.0, 10.0, 1.0, 0.33333334, 5.538667
20.0, 2.0, -0.5, 3.0, 10.0, 2.0, 0.33333334, 5.5916667
