TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 3.0, 0.1, 0.1, 0.9230769, 15.063614, -31.000082, 16.638971
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 14.944498, -21.500046, 12.013732
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 14.665502, -22.50005, 10.89953
35.0, 0.025, 3.0, 0.1, 0.1, 0.5, 16.304834, -18.500034, 10.655611
35.0, 0.025, 3.0, 0.1, 0.1, 0.7777778, 16.744, -30.000078, 20.020739
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 20.484749, -20.00004, 10.314664
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 17.0035, -5.9999967, -0.74754447
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 23.605, -4.9999976, -0.7158437
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 15.8619995, -16.500027, 7.8364477
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.601, -11.000006, 2.8618083
35.0, 0.025, 3.0, 0.1, 0.1, 0.875, 16.047873, -22.50005, 10.2581005
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 17.44, -13.000013, 5.632893
35.0, 0.025, 3.0, 0.1, 0.1, 0.5555556, 13.683778, -17.50003, 5.8971167
35.0, 0.025, 3.0, 0.1, 0.1, 0.8333333, 16.615, -20.00004, 8.204398
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 13.935251, -20.500042, 10.023481
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 18.160751, -16.000025, 8.431821
35.0, 0.025, 3.0, 0.1, 0.1, 0.5714286, 11.321715, -14.500019, 5.707945
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 15.616126, -23.000051, 11.126685
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 20.1765, -7.9999948, 1.5239866
35.0, 0.025, 3.0, 0.1, 0.1, 0.6923077, 15.725695, -40.499954, 27.19855
35.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 15.825001, -9.5, 1.7430782
35.0, 0.025, 3.0, 0.1, 0.1, 0.5555556, 14.07278, -23.000051, 13.5133295
35.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 16.5025, -41.99993, 27.971577
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 17.13425, -13.000013, 4.8739386
35.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 17.360332, -10.000002, 0.9687161
35.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 15.448288, -19.500038, 9.765122
35.0, 0.025, 3.0, 0.1, 0.1, 0.9, 16.1829, -28.500072, 14.751374
35.0, 0.025, 3.0, 0.1, 0.1, 0.72727275, 16.013454, -30.000078, 16.796743
35.0, 0.025, 3.0, 0.1, 0.1, 0.8333333, 16.227581, -37.000008, 23.006397
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 17.2295, -13.000013, 3.1902761
35.0, 0.025, 3.0, 0.1, 0.1, 0.75, 17.39525, -13.500015, 3.1620681
35.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 14.094108, -23.000051, 12.995444
35.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 15.469144, -22.50005, 11.576591
35.0, 0.025, 3.0, 0.1, 0.1, 0.5555556, 16.94522, -25.500061, 12.254365
35.0, 0.025, 3.0, 0.1, 0.1, 0.5, 15.79, -6.9999957, -0.15585408
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.038, -9.5, 1.6446623
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.4974, -13.500015, 3.9625437
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 18.6082, -19.000036, 8.026316
35.0, 0.025, 3.0, 0.1, 0.1, 0.46153846, 13.530999, -32.500076, 19.601332
35.0, 0.025, 3.0, 0.1, 0.1, 0.71428573, 13.84757, -16.500027, 7.106245
35.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 17.506716, -24.500057, 12.558731
35.0, 0.025, 3.0, 0.1, 0.1, 0.71428573, 15.549141, -23.000051, 10.783818
35.0, 0.025, 3.0, 0.1, 0.1, 0.5, 15.285336, -22.000048, 12.226017
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 22.189, -11.000006, 2.3510742
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 26.957, -7.499995, 0.022643857
35.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 15.585864, -35.00004, 19.715717
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 25.605, -6.499996, -0.07006598
35.0, 0.025, 3.0, 0.1, 0.1, 0.8888889, 14.859112, -24.000055, 11.611435
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 19.163168, -26.000063, 12.620424
35.0, 0.025, 3.0, 0.1, 0.1, 0.8, 15.484001, -15.500023, 5.661718
35.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 16.194714, -23.500053, 11.523477
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.279167, -18.500034, 6.2875743
35.0, 0.025, 3.0, 0.1, 0.1, 0.875, 16.864, -21.500046, 11.466429
35.0, 0.025, 3.0, 0.1, 0.1, 1.0, 20.042, -10.500004, 2.03009
35.0, 0.025, 3.0, 0.1, 0.1, 0.6, 13.563299, -28.00007, 16.131502
