TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 7.0651884, -3.4999988, -0.05156617
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 5.3938756, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.390626, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 8.89969, -5.9999967, 0.9420922
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 5.378125, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.384374, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.25, 5.862, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 5.4114385, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 6.43875, -1.5000002, -0.29084736
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 8.170811, -5.499997, 0.8697173
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 5.393813, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.40525, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.25, 5.376686, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 7.4679375, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 7.066376, -3.4999988, -0.061984405
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.368126, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 5.388749, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 6.684562, -1.5000002, -0.2365177
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 5.3874993, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 5.384374, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 5.3749995, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.387499, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 6.5819373, -0.5, -0.14701113
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.6670623, -0.5, -0.0991
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.5008736, -1.0000001, -0.15880033
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.2183743, -1.0000001, -0.18560156
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.3718743, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 7.7493753, -4.9999976, 0.5670121
20.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 6.571437, -0.5, -0.14487153
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 7.4343114, -4.9999976, 0.70308626
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 5.3749995, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.625, 5.3932495, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.381251, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.393814, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.3125, 5.4310627, -0.5, -0.124550454
20.0, 0.025, 1.0, 0.1, 0.1, 0.25, 5.4550624, -0.5, -0.13756442
20.0, 0.025, 1.0, 0.1, 0.1, 0.75, 9.910001, -7.499995, 1.7795978
20.0, 0.025, 1.0, 0.1, 0.1, 0.25, 5.188875, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 9.3220005, -8.499996, 2.5284493
20.0, 0.025, 1.0, 0.1, 0.1, 0.5, 5.385999, 0.0, 0.0
20.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 5.4275627, -0.5, -0.14299062
20.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 5.444, -0.5, -0.13777612
20.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 7.4398117, -2.4999998, -0.10410151
20.0, 0.025, 1.0, 0.1, 0.1, 0.8125, 7.3204994, -1.0000001, -0.16769263
20.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 7.693248, 0.0, 0.0
