TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 25.35067
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 16.770668
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 19.612999
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 17.077332
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 17.162668
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 16.405998
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.672335
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 19.478666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 34.52567
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 27.293665
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 8.993668
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 25.421333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 14.038669
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 34.346
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 28.385666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 16.501669
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 35.068333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.324
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 35.940998
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.980667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.0, 16.983667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 14.016
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.209335
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 16.677
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.622665
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 22.353334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 11.303666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.913334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.0, 8.684333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 13.946334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.696
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.642002
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 16.740667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 20.176668
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 11.102333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.77933
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 19.452667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 31.480333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.109005
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.377003
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 18.871332
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.297665
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 27.469
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 31.443665
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 16.85
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 24.970667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 27.423002
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.420334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 25.695
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 16.793667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 19.378
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 21.991669
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 19.268332
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.3949995
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 31.475
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 24.660334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.814667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 14.023999
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 8.990667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.974
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.544666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.0, 13.865001
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 29.897669
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 19.785667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 27.079
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.253002
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 34.365665
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 19.886667
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.937668
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 34.627666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 24.779999
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 28.135
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.748997
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 35.482334
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 25.262001
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.943335
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 30.888666
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.27367
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 35.081333
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 19.733002
40.0, 4.0, -0.5, 1.0, 1.0, 1.0, 1.0, 33.232666
