Subject	Date	Version	Block	BlockCondition	Problem	ACC	CorrRT	AllRT
37041	10/12/2016	RavenStimv2	1	StimMFG	Rel1	1	6656.33	6656.33
37042	10/19/2016	RavenStimv2	1	ShamMFG	Rel1	1	5823.00	5823.00
37043	10/21/2016	RavenStimv2	1	StimIPG	Rel1	1	3612.67	3612.67
37045	10/27/2016	RavenStimv1	1	StimMFG	Rel1	1	9789.67	9789.67
37047	11/2/2016	RavenStimv1	1	StimIPG	Rel1	1	5813.33	5813.33
37048	11/3/2016	RavenStimv1	1	ShamIPG	Rel1	1	6826.00	6826.00
37049	11/4/2016	RavenStimv3	1	StimMFG	Rel1	0.6666666667	3840.50	4335.67
37050	11/9/2016	RavenStimv3	1	ShamMFG	Rel1	1	7573.00	7573.00
37052	11/23/2016	RavenStimv3	1	StimIPG	Rel1	1	6110.67	6110.67
37053	11/30/2016	RavenStimv3	1	ShamIPG	Rel1	1	3145.33	3145.33
37054	12/1/2016	RavenStimv4	1	StimMFG	Rel1	1	3398.33	3398.33
37056	1/17/2017	RavenStimv4	1	ShamMFG	Rel1	1	3814.00	3814.00
37057	1/25/2017	RavenStimv4	1	StimIPG	Rel1	1	6606.67	6606.67
37058	1/31/2017	RavenStimv4	1	ShamIPG	Rel1	1	3571.67	3571.67
37059	2/3/2017	RavenStimv1	1	ShamMFG	Rel1	1	5964.67	5964.67
37061	2/10/2017	RavenStimv2	1	ShamIPG	Rel1	1	5428.00	5428.00
37063	3/6/2017	RavenStimv3	1	StimMFG	Rel1	1	6734.67	6734.67
37064	3/13/2017	RavenStimv3	1	ShamMFG	Rel1	1	11392.67	11392.67
37065	3/16/2017	RavenStimv2	1	ShamIPG	Rel1	0.6666666667	3713.00	11017.33
37066	4/10/2017	RavenStimv2	1	ShamIPG	Rel1	1	19352.33	19352.33
37067	4/12/2017	RavenStimv4	1	StimIPG	Rel1	1	5663.67	5663.67
37068	4/14/2017	RavenStimv4	1	StimIPG	Rel1	1	3531.67	3531.67
37041	10/12/2016	RavenStimv2	2	ShamMFG	Rel1	1	8569.67	8569.67
37042	10/19/2016	RavenStimv2	2	StimMFG	Rel1	0.6666666667	6975.50	8251.33
37043	10/21/2016	RavenStimv2	2	ShamIPG	Rel1	1	6348.00	6348.00
37045	10/27/2016	RavenStimv1	2	ShamMFG	Rel1	1	6220.00	6220.00
37047	11/2/2016	RavenStimv1	2	ShamIPG	Rel1	1	4853.67	4853.67
37048	11/3/2016	RavenStimv1	2	StimIPG	Rel1	1	5148.67	5148.67
37049	11/4/2016	RavenStimv3	2	ShamMFG	Rel1	0.6666666667	3242.00	3995.00
37050	11/9/2016	RavenStimv3	2	StimMFG	Rel1	1	4508.67	4508.67
37052	11/23/2016	RavenStimv3	2	ShamIPG	Rel1	0.6666666667	5699.00	5660.33
37053	11/30/2016	RavenStimv3	2	StimIPG	Rel1	1	5525.33	5525.33
37054	12/1/2016	RavenStimv4	2	ShamMFG	Rel1	1	5222.67	5222.67
37056	1/17/2017	RavenStimv4	2	StimMFG	Rel1	0.6666666667	5684.00	7795.33
37057	1/25/2017	RavenStimv4	2	ShamIPG	Rel1	1	4922.67	4922.67
37058	1/31/2017	RavenStimv4	2	StimIPG	Rel1	1	5155.00	5155.00
37059	2/3/2017	RavenStimv1	2	StimMFG	Rel1	1	10787.67	10787.67
37061	2/10/2017	RavenStimv2	2	StimIPG	Rel1	1	5911.00	5911.00
37063	3/6/2017	RavenStimv3	2	ShamMFG	Rel1	1	6236.67	6236.67
37064	3/13/2017	RavenStimv3	2	StimMFG	Rel1	1	7173.00	7173.00
37065	3/16/2017	RavenStimv2	2	StimIPG	Rel1	1	9620.33	9620.33
37066	4/10/2017	RavenStimv2	2	StimIPG	Rel1	0.6666666667	13394.00	22241.33
37067	4/12/2017	RavenStimv4	2	ShamIPG	Rel1	1	7423.00	7423.00
37068	4/14/2017	RavenStimv4	2	ShamIPG	Rel1	1	5760.67	5760.67
37041	10/12/2016	RavenStimv2	3	StimIPG	Rel1	1	5449.33	5449.33
37042	10/19/2016	RavenStimv2	3	ShamIPG	Rel1	1	8497.67	8497.67
