TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.85714287, 11.2324295, -23.000051, 13.76856
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.71428573, 8.875, -9.5, 3.2384372
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 8.647185, -20.00004, 11.611868
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.2857143, 8.810429, -9.5, 3.5457826
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.53846157, 10.179075, -19.000036, 10.9229765
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.44444445, 9.679333, -12.500011, 5.8194695
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 11.073001, -3.9999983, 0.30323642
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.84615386, 8.9785385, -13.000013, 6.230923
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 10.2247505, -5.9999967, 1.300907
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6666667, 11.981, -13.000013, 5.6207194
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.73333335, 10.063465, -28.00007, 18.417973
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 11.914599, -10.500004, 3.7635384
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 10.650501, -12.500011, 5.306094
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 10.386188, -21.500046, 13.26143
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.33333334, 8.035333, -19.000036, 10.614429
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.3, 9.5592, -11.500008, 4.907395
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.4, 9.9648, -8.499996, 2.7145934
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 9.767501, -7.499995, 2.3194263
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 10.76375, -7.499995, 2.070656
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 10.796999, -7.499995, 1.8196588
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 7.8936014, -17.50003, 9.577826
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.7692308, 8.803228, -14.000017, 6.6715755
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 9.8328, -16.500027, 8.901903
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.7777778, 8.270334, -5.499997, 0.83812046
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 11.3914995, -10.000002, 3.3471203
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8888889, 8.862778, -12.00001, 5.145196
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8, 10.527199, -7.9999948, 2.2380674
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8333333, 8.795833, -11.500008, 4.5692725
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 9.350624, -12.500011, 5.2128778
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.85714287, 9.210856, -8.999998, 3.029779
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 10.405286, -9.5, 3.04504
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 9.744124, -22.000048, 13.35506
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.78571427, 9.843356, -25.00006, 16.068113
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 10.469999, -13.000013, 5.7898264
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.71428573, 8.485571, -10.500004, 4.196696
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.7692308, 10.056232, -18.000032, 9.634087
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.64285713, 9.049428, -19.500038, 11.236308
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 12.5005, -10.000002, 4.165933
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 17.345, -2.9999993, -0.17567825
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 10.536109, -12.500011, 5.5388603
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 8.933415, -12.500011, 5.8048773
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 13.793, -3.9999983, 0.06354396
30.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6666667, 10.061001, -4.499998, 0.56321836
