TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 8.198752, -12.00001, 2.0506449
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.875, 11.605565, -17.000029, 3.9452384
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 6.3037515, -8.499996, 1.3466275
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 6.951313, -10.500004, 1.1613617
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 8.978749, -13.000013, 3.627634
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 6.8396873, -9.5, 2.0757444
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.9375, 9.8025, -14.500019, 5.3731866
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 7.309374, -9.5, 1.9636976
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 6.0375, -7.9999948, 0.9414238
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 8.253125, -12.500011, 2.7322004
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 8.380623, -11.500008, 3.3744557
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 8.421252, -12.00001, 2.7532952
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 9.996877, -14.500019, 4.34165
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 8.8274355, -13.500015, 3.6523101
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 8.695875, -12.500011, 3.59351
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 8.776252, -13.000013, 5.0099244
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 8.120625, -11.000006, 2.577561
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.9375, 10.898251, -22.000048, 10.918691
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 7.684873, -11.000006, 1.5034217
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 5.390624, 0.0, 0.0
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 6.4830647, -10.000002, 1.5953232
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 8.937251, -12.500011, 2.176838
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 7.3487506, -10.000002, 3.1543052
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 7.888749, -11.000006, 2.3254676
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 7.074374, -9.5, 0.8707804
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.875, 9.239186, -13.500015, 3.7457821
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 9.661874, -13.000013, 2.0338638
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.875, 6.6525006, -9.5, 2.4336612
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 8.418127, -12.00001, 2.8620079
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 6.3121862, -8.499996, 0.97983253
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 6.0343738, -7.9999948, 0.8354154
25.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 8.145248, -11.500008, 2.5234463
