TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 10.608124, -13.500015, 5.9197884
22.0, 0.025, 1.0, 0.1, 0.1, 0.625, 7.0088744, -5.499997, 0.9787142
22.0, 0.025, 1.0, 0.1, 0.1, 1.0, 13.643001, -5.9999967, 0.96629435
22.0, 0.025, 1.0, 0.1, 0.1, 0.625, 7.011251, -5.499997, 1.1028522
22.0, 0.025, 1.0, 0.1, 0.1, 0.3125, 5.391125, 0.0, 0.0
22.0, 0.025, 1.0, 0.1, 0.1, 0.625, 11.029504, -13.000013, 5.5496597
22.0, 0.025, 1.0, 0.1, 0.1, 0.5, 6.4259367, -3.9999983, 0.45085642
22.0, 0.025, 1.0, 0.1, 0.1, 0.25, 5.4382505, -0.5, -0.13664635
22.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 6.908251, -3.4999988, -0.012932669
22.0, 0.025, 1.0, 0.1, 0.1, 0.375, 9.322499, -8.499996, 2.5026855
22.0, 0.025, 1.0, 0.1, 0.1, 0.625, 7.760625, -9.5, 3.6648583
22.0, 0.025, 1.0, 0.1, 0.1, 0.8333333, 9.750834, -8.999998, 2.7036128
22.0, 0.025, 1.0, 0.1, 0.1, 0.5, 9.562874, -11.500008, 4.6850057
22.0, 0.025, 1.0, 0.1, 0.1, 0.6666667, 10.250502, -4.9999976, 0.72576106
22.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 8.740376, -10.000002, 3.536267
22.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 6.8363132, -6.499996, 1.3691628
22.0, 0.025, 1.0, 0.1, 0.1, 0.375, 5.381251, 0.0, 0.0
22.0, 0.025, 1.0, 0.1, 0.1, 0.625, 9.408435, -9.5, 3.1283326
22.0, 0.025, 1.0, 0.1, 0.1, 0.5, 7.1395636, -4.499998, 0.4636382
22.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 9.219125, -7.499995, 1.8047758
22.0, 0.025, 1.0, 0.1, 0.1, 0.75, 8.93919, -9.5, 3.455502
22.0, 0.025, 1.0, 0.1, 0.1, 0.75, 9.527748, -7.9999948, 2.1484842
22.0, 0.025, 1.0, 0.1, 0.1, 0.5, 9.208874, -10.000002, 3.3265874
22.0, 0.025, 1.0, 0.1, 0.1, 0.6666667, 10.399002, -12.500011, 5.8930044
22.0, 0.025, 1.0, 0.1, 0.1, 0.5, 7.9906874, -3.4999988, 0.22361773
22.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 6.6298747, -7.499995, 2.1747136
