TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 11.640809, -13.000013, -2.343216
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.25, 15.757313, -20.00004, 1.4739327
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.125, 11.244812, -8.999998, -1.5020146
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 15.393375, -16.000025, -0.5565799
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 13.18225, -17.000029, -1.1526934
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 19.254066, -20.500042, -1.1674634
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 10.822373, -8.499996, -2.40971
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 14.554878, -11.500008, -1.5792427
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.1875, 10.373565, -7.9999948, -1.0209376
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 14.33075, -13.000013, -3.1517503
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 15.55925, -14.500019, -1.8612585
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 14.978064, -20.00004, -0.47111803
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 16.41412, -19.000036, -0.7629251
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 14.7423115, -17.000029, -1.2273955
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 11.236314, -8.999998, -1.1009222
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 11.877562, -7.9999948, -3.1118546
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.25, 12.368811, -9.5, -1.1182551
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 15.837999, -17.000029, 0.10441354
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 14.669123, -17.50003, -0.9783496
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 12.890497, -14.500019, -1.2513022
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 11.239063, -8.999998, -1.9459112
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.25, 14.388374, -17.50003, -1.9431899
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 14.448874, -18.000032, -2.657326
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 16.555313, -16.500027, -2.2236776
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 15.739061, -16.500027, -1.9553424
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.25, 15.194001, -18.000032, -0.43554953
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 14.5391245, -15.500023, 0.07963957
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 11.196753, -8.999998, -1.2498175
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 14.614311, -16.500027, -0.8424219
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 12.1116905, -10.000002, -1.8461527
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 16.148314, -20.00004, -1.1857758
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.25, 12.719251, -12.500011, -0.22502635
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.125, 13.052688, -11.500008, -2.157653
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 15.215061, -18.000032, -0.5029686
24.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 16.229248, -17.000029, 0.7194936
