TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 9.510187, -11.000006, -3.6884017
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 10.063125, -12.00001, -1.7947268
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.25, 8.859752, -7.9999948, -2.0472999
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 9.343625, -8.999998, -1.9202915
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 10.356437, -7.9999948, -1.9233278
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 9.634687, -7.9999948, -1.4168469
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.4375, 11.377438, -14.000017, -2.8319097
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 10.542624, -9.5, -2.1819184
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 9.605125, -7.9999948, -2.111791
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.4375, 10.541249, -9.5, -1.3605766
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5625, 12.383061, -17.000029, -4.0453973
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 10.174935, -10.000002, -1.8734696
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.25, 10.580563, -14.000017, -4.6117177
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.25, 9.210123, -7.9999948, -3.077595
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 10.965689, -14.000017, -1.0386316
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 10.962251, -14.000017, -2.553438
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.25, 9.616812, -7.9999948, -2.2275813
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5625, 11.930313, -7.9999948, -0.34462324
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.625, 12.338938, -8.999998, -4.088941
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.0625, 8.808374, -7.9999948, -2.7344112
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 10.00956, -7.9999948, -3.696642
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 8.845873, -7.9999948, -3.3621259
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.4375, 10.362314, -7.9999948, -3.0366497
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.25, 9.782377, -9.5, -1.5765737
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.4375, 11.258249, -13.000013, -1.7731941
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 9.397628, -9.5, -2.89132
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5625, 9.645811, -7.9999948, -1.3285391
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5625, 10.03275, -7.9999948, -3.5704732
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.1875, 8.942625, -8.999998, -3.9345374
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 11.074, -11.000006, -1.0040065
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 10.914938, -13.000013, -3.3569875
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 10.3722515, -7.9999948, -3.3679771
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.3125, 9.318873, -8.999998, -2.7690766
22.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 9.922062, -11.000006, -3.1440282
