TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 1.0, 0.1, 0.1, 0.625, 10.779252, -15.500023, 7.5019
25.0, 0.025, 1.0, 0.1, 0.1, 0.4375, 7.9643755, -8.999998, 3.1174846
25.0, 0.025, 1.0, 0.1, 0.1, 0.8181818, 12.030457, -10.500004, 3.686112
25.0, 0.025, 1.0, 0.1, 0.1, 0.8125, 9.471251, -13.000013, 6.0866556
25.0, 0.025, 1.0, 0.1, 0.1, 0.9375, 12.556874, -14.500019, 6.511914
25.0, 0.025, 1.0, 0.1, 0.1, 0.6, 12.316299, -10.500004, 3.9229164
25.0, 0.025, 1.0, 0.1, 0.1, 0.625, 12.7404995, -10.500004, 3.6553423
25.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 9.7805, -11.500008, 4.723337
25.0, 0.025, 1.0, 0.1, 0.1, 0.6875, 7.777689, -9.5, 3.356583
25.0, 0.025, 1.0, 0.1, 0.1, 0.3125, 5.3874993, 0.0, 0.0
25.0, 0.025, 1.0, 0.1, 0.1, 0.84615386, 11.018617, -11.000006, 4.434187
25.0, 0.025, 1.0, 0.1, 0.1, 0.375, 10.870877, -13.500015, 6.306796
25.0, 0.025, 1.0, 0.1, 0.1, 0.8125, 12.185939, -15.500023, 7.273713
25.0, 0.025, 1.0, 0.1, 0.1, 0.9166667, 12.268749, -12.500011, 4.957513
25.0, 0.025, 1.0, 0.1, 0.1, 0.8125, 12.286874, -17.000029, 8.646553
25.0, 0.025, 1.0, 0.1, 0.1, 0.8, 12.7179, -10.500004, 3.4997883
25.0, 0.025, 1.0, 0.1, 0.1, 0.8125, 10.893127, -14.000017, 6.72198
25.0, 0.025, 1.0, 0.1, 0.1, 0.6923077, 10.694231, -10.500004, 4.180053
25.0, 0.025, 1.0, 0.1, 0.1, 0.5625, 10.495624, -14.500019, 7.162954
25.0, 0.025, 1.0, 0.1, 0.1, 0.875, 12.822499, -8.499996, 2.3170083
25.0, 0.025, 1.0, 0.1, 0.1, 0.3125, 10.208315, -14.000017, 6.405723
25.0, 0.025, 1.0, 0.1, 0.1, 0.75, 11.269376, -13.000013, 5.7119956
25.0, 0.025, 1.0, 0.1, 0.1, 0.625, 9.092625, -11.500008, 4.5334105
25.0, 0.025, 1.0, 0.1, 0.1, 0.625, 8.697875, -6.499996, 1.6732063
25.0, 0.025, 1.0, 0.1, 0.1, 0.64285713, 9.84464, -7.9999948, 2.5049412
