D1, TICKS, ALPHA, EGS, ACCURACY, PROBLEM, CHOICE
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 12.015001, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 16.565, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.914999, 1.0850029
0.1, 10.0, 0.2, 0.1, 1.0, 7.3149986, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.215, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 16.515, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.215, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.965, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.215, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 16.715, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 16.615002, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 12.014999, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 12.015001, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 16.564999, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.864998, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 16.665, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 12.015001, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.865, 1.1350021
0.1, 10.0, 0.2, 0.1, 0.0, 11.964998, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150024, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.0850029
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.215, 1.1350002
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.2650013, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.085001
0.1, 10.0, 0.2, 0.1, 0.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.1350002
0.1, 10.0, 0.2, 0.1, 1.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.914999, 1.0850029
0.1, 10.0, 0.2, 0.1, 1.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.085001
0.1, 10.0, 0.2, 0.1, 0.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 12.015001, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.865002, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 7.2650013, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 7.2650013, 1.0849991
0.1, 10.0, 0.2, 0.1, 0.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.2650013, 1.1350002
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.1, 1.0, 16.615002, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.964998, 1.1350021
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.0850029
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.915001, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 16.564999, 1.1350021
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 7.2650013, 1.1350002
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.1, 1.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.1, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 7.2149982, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 12.014999, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.1, 0.0, 11.865, 1.1350021
0.1, 10.0, 0.2, 0.1, 1.0, 21.314999, 1.0850029
0.1, 10.0, 0.2, 0.1, 1.0, 21.215004, 1.1349945
0.1, 10.0, 0.2, 0.1, 1.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.1, 1.0, 16.664999, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.2, 0.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.2, 0.0, 7.3149986, 1.0850029
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 11.915001, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 12.014999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 11.914999, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 12.015001, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 16.565002, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 16.565, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.3149986, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 12.014999, 1.1350021
0.1, 10.0, 0.2, 0.2, 0.0, 11.965002, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 11.964998, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.2, 1.0, 21.364998, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 16.664999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 16.615, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.2, 1.0, 7.215002, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.215, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 16.665, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.3149986, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.2650013, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 16.565002, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 11.915001, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 7.2650013, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.1350002
0.1, 10.0, 0.2, 0.2, 1.0, 12.014999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 16.615002, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.3150005, 1.1350002
0.1, 10.0, 0.2, 0.2, 1.0, 12.014999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 7.2650013, 1.1350002
0.1, 10.0, 0.2, 0.2, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 7.2649994, 1.1350002
0.1, 10.0, 0.2, 0.2, 0.0, 7.215002, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 16.615, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.2, 0.0, 11.914999, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.0850029
0.1, 10.0, 0.2, 0.2, 0.0, 11.965002, 1.0849991
0.1, 10.0, 0.2, 0.2, 1.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.2, 1.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.2, 0.0, 7.2649994, 1.1350021
