TICKS, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.724999
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.722333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 5.5550003
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.752002
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 9.53
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.708333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 12.961666
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 17.101667
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.488334
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 14.598667
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.455
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 9.272666
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.496333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 9.321667
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.942001
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 15.081668
20.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 11.776333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.486335
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 12.001668
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.741666
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.488335
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.455001
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 11.727
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 11.741666
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.500667
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 14.198334
20.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 14.245
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.724
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.506333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 9.528333
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 14.194
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 9.2873335
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 12.365668
20.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 10.749667
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.521667
20.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 8.0650015
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 10.502
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.134
20.0, -0.5, 1.0, 1.0, 1.0, 0.33333334, 10.708
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 9.523001
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.741666
20.0, -0.5, 1.0, 1.0, 1.0, 0.6666667, 11.758334
20.0, -0.5, 1.0, 1.0, 1.0, 1.0, 10.484333
