TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 3.0, 0.1, 0.1, 0.61538464, 14.582617, -29.000074, 14.966007
30.0, 0.025, 3.0, 0.1, 0.1, 0.61538464, 11.856615, -19.000036, 9.920614
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 15.141334, -16.000025, 3.7851846
30.0, 0.025, 3.0, 0.1, 0.1, 0.8, 13.704599, -21.000044, 10.543516
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.62, -5.499997, -0.46025878
30.0, 0.025, 3.0, 0.1, 0.1, 0.44444445, 12.021336, -14.500019, 4.6133738
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 13.342501, -6.9999957, -0.451192
30.0, 0.025, 3.0, 0.1, 0.1, 0.8, 13.295199, -10.000002, 3.0936177
30.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 13.796286, -19.500038, 7.6323657
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 14.425, -13.000013, 3.836403
30.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 12.940333, -5.499997, -0.81160307
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 12.525001, -7.499995, 1.1283686
30.0, 0.025, 3.0, 0.1, 0.1, 0.7, 13.601601, -17.50003, 6.533584
30.0, 0.025, 3.0, 0.1, 0.1, 0.9, 13.842099, -19.500038, 8.5458765
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 14.639419, -25.500061, 13.185199
30.0, 0.025, 3.0, 0.1, 0.1, 0.375, 11.326377, -24.500057, 13.476393
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 13.571872, -19.000036, 9.899764
30.0, 0.025, 3.0, 0.1, 0.1, 0.8666667, 14.591998, -29.500076, 16.417654
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 15.8325, -8.999998, 1.6626357
30.0, 0.025, 3.0, 0.1, 0.1, 0.5, 10.46175, -11.000006, 3.704536
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 9.607813, -21.000044, 9.986617
30.0, 0.025, 3.0, 0.1, 0.1, 0.625, 14.091249, -19.000036, 8.027733
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 13.916667, -4.9999976, -0.4433866
30.0, 0.025, 3.0, 0.1, 0.1, 0.6875, 13.489879, -25.500061, 11.633715
30.0, 0.025, 3.0, 0.1, 0.1, 0.9230769, 13.098617, -20.00004, 8.60046
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 14.762601, -10.000002, 1.2140564
30.0, 0.025, 3.0, 0.1, 0.1, 0.875, 14.891126, -39.99996, 26.834646
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 12.241714, -20.00004, 7.9884906
30.0, 0.025, 3.0, 0.1, 0.1, 0.6875, 9.525001, -16.500027, 6.537918
30.0, 0.025, 3.0, 0.1, 0.1, 0.625, 12.745, -16.500027, 5.1515427
30.0, 0.025, 3.0, 0.1, 0.1, 0.8333333, 15.058083, -23.500053, 9.147536
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 15.208876, -35.00004, 22.469103
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 16.757751, -8.999998, 0.39651114
30.0, 0.025, 3.0, 0.1, 0.1, 0.7, 14.928101, -24.500057, 12.02338
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 14.329667, -12.500011, 2.7966902
30.0, 0.025, 3.0, 0.1, 0.1, 0.64285713, 10.680358, -20.00004, 9.7436075
30.0, 0.025, 3.0, 0.1, 0.1, 0.8125, 11.829124, -19.500038, 8.448733
30.0, 0.025, 3.0, 0.1, 0.1, 0.8125, 11.349313, -22.50005, 10.07471
30.0, 0.025, 3.0, 0.1, 0.1, 0.625, 11.526065, -24.500057, 13.241029
30.0, 0.025, 3.0, 0.1, 0.1, 0.8, 14.7503, -23.500053, 11.041023
30.0, 0.025, 3.0, 0.1, 0.1, 0.8, 13.246401, -10.000002, 1.4542776
30.0, 0.025, 3.0, 0.1, 0.1, 0.8333333, 14.838666, -12.00001, 2.3107774
30.0, 0.025, 3.0, 0.1, 0.1, 0.8, 14.518001, -19.000036, 7.2544127
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 13.9436245, -15.500023, 5.1026363
30.0, 0.025, 3.0, 0.1, 0.1, 0.6, 14.218401, -7.9999948, 0.57945514
30.0, 0.025, 3.0, 0.1, 0.1, 0.71428573, 14.334715, -16.500027, 5.448511
30.0, 0.025, 3.0, 0.1, 0.1, 0.84615386, 14.844927, -26.000063, 15.743931
30.0, 0.025, 3.0, 0.1, 0.1, 0.75, 11.551563, -24.500057, 14.147382
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 21.655, -3.4999988, -1.0030465
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 13.911499, -10.500004, 2.771265
30.0, 0.025, 3.0, 0.1, 0.1, 0.85714287, 12.6778555, -10.500004, 1.8437116
30.0, 0.025, 3.0, 0.1, 0.1, 0.6666667, 13.838333, -13.000013, 3.032684
30.0, 0.025, 3.0, 0.1, 0.1, 1.0, 15.464499, -12.00001, 2.834908
30.0, 0.025, 3.0, 0.1, 0.1, 0.625, 13.181, -16.000025, 6.0729175
30.0, 0.025, 3.0, 0.1, 0.1, 0.5, 15.924667, -14.000017, 3.1734376
